
-2, -1
0, 6
0, 30
0, 60
0, 67
0, 68
0, 91
1, 3
1, 18
1, 22
1, 25
1, 33
1, 35
1, 38
1, 79
2, 7
2, 31
2, 43
2, 49
2, 68
2, 85
2, 90
2, 92
2, 94
3, 15
3, 27
3, 29
3, 35
3, 41
3, 44
3, 45
3, 46
3, 50
3, 51
3, 53
3, 93
4, 2
4, 25
4, 30
4, 31
4, 47
4, 52
4, 55
4, 63
4, 70
4, 73
4, 93
4, 99
5, 10
5, 14
5, 16
5, 23
5, 31
5, 39
5, 40
5, 42
5, 53
5, 64
5, 69
5, 71
5, 77
5, 93
5, 96
6, 3
6, 10
6, 18
6, 30
6, 38
6, 50
6, 56
6, 59
6, 72
6, 80
6, 87
6, 90
6, 96
6, 100
7, 9
7, 14
7, 18
7, 21
7, 38
7, 40
7, 47
7, 50
7, 55
7, 63
7, 69
7, 76
7, 79
7, 83
7, 87
7, 91
7, 98
7, 100
8, 0
8, 20
8, 29
8, 34
8, 40
8, 43
8, 46
8, 47
8, 53
8, 61
8, 76
8, 79
9, 3
9, 16
9, 22
9, 27
9, 39
9, 56
9, 58
9, 59
9, 67
9, 69
9, 78
10, 3
10, 8
10, 9
10, 14
10, 15
10, 18
10, 26
10, 38
10, 50
10, 61
10, 62
10, 73
10, 75
10, 86
10, 90
10, 92
11, 9
11, 39
11, 51
11, 72
11, 77
11, 97
12, 27
12, 30
12, 40
12, 60
12, 70
12, 84
13, 16
13, 20
13, 24
13, 27
13, 47
13, 49
13, 61
13, 73
13, 100
14, 1
14, 2
14, 10
14, 13
14, 15
14, 41
14, 56
14, 58
14, 61
14, 63
14, 87
15, 36
15, 45
15, 46
15, 52
15, 53
15, 60
15, 63
16, 6
16, 16
16, 20
16, 32
16, 40
16, 75
16, 81
16, 88
17, 11
17, 12
17, 18
17, 21
17, 28
17, 38
17, 66
17, 69
17, 70
18, 5
18, 26
18, 32
18, 71
18, 75
18, 83
18, 84
19, 4
19, 6
19, 31
19, 63
19, 65
19, 74
19, 83
19, 90
20, 4
20, 7
20, 9
20, 21
20, 30
20, 36
20, 49
20, 72
20, 73
20, 78
21, 2
21, 12
21, 16
21, 20
21, 25
21, 31
21, 46
21, 77
21, 87
21, 88
21, 96
22, 24
22, 43
22, 51
22, 61
22, 65
22, 77
22, 93
23, 2
23, 10
23, 19
23, 23
23, 31
23, 42
23, 49
23, 55
23, 63
23, 66
23, 73
23, 75
23, 76
23, 81
23, 83
24, 4
24, 10
24, 34
24, 39
24, 41
24, 59
24, 60
24, 61
24, 82
24, 92
24, 96
24, 98
24, 100
25, 10
25, 18
25, 32
25, 37
25, 41
25, 57
25, 58
25, 75
25, 86
26, 4
26, 19
26, 37
26, 40
26, 42
26, 43
26, 50
26, 54
26, 55
26, 63
26, 70
26, 71
26, 74
26, 77
26, 90
26, 95
26, 98
27, 26
27, 43
27, 47
27, 49
27, 55
27, 65
27, 79
27, 89
27, 90
27, 91
27, 93
28, 2
28, 6
28, 32
28, 40
28, 56
28, 60
28, 73
28, 76
28, 92
28, 94
28, 95
29, 9
29, 24
29, 41
29, 44
29, 50
29, 51
29, 55
29, 81
29, 90
30, 29
30, 30
30, 35
30, 43
30, 51
30, 69
30, 73
30, 80
30, 97
30, 100
31, 14
31, 19
31, 27
31, 45
